指标名称,产量:空调:当月值,产量:家用电冰箱:当月值,产量:家用洗衣机:当月值,出口数量:洗碗机:当月值,出口数量:吸油烟机:当月值,产量:铜材:当月值,产量:氧化铝:当月值,产量:铝材:当月值,进口数量:未锻造的铜及铜材:当月值,价格:冷轧板卷:0.5mm:广州,含税价:镀锌薄板:0.5mm:北京,含税价:镀锌薄板:1mm:北京,期货结算价(活跃合约):焦煤,市场价:无烟煤(2号洗中块):全国,市场价:普通混煤(Q4500):全国,市场价:山西大混(Q5000):全国,进口数量:未锻造的铝及铝材:当月值,市场价:山西优混(Q5500):全国,市场价:大同混煤(Q5800):全国,煤炭运价(云洲船务报):印尼南加TABONEO锚地→连云港:5万-6万吨带吊杆和抓斗船舶,煤炭运价(云洲船务报):澳大利亚NEWCASTLE泊位→宁德:6万-7万吨不带吊杆和抓斗船舶,进口数量:废铜:当月值,平均价(不含税):铜精矿:20%:江西,居民消费水平:全体居民:农村居民,申万行业指数:白色家电,出口金额:中央空调:当月值,城市人均住宅建筑面积,库存:洗衣机:当月值,库存:冰箱:当月值,库存:家用空调:当月值,库存:滚筒洗衣机:当月值,库存:冰柜:当月值
2015-09-02,,,,,,,,,,3100.00 ,,,569.50 ,,,,,,,,,,33000.00 ,,7380.43 ,,,,,,,
2015-09-06,,,,,,,,,,3100.00 ,,,,,,,,,,,,,,,,,,,,,,
2015-09-07,,,,,,,,,,3100.00 ,,,575.50 ,,,,,,,,,,33100.00 ,,7190.84 ,,,,,,,
2015-09-08,,,,,,,,,,3100.00 ,,,583.50 ,,,,,,,5.30 ,8.50 ,,33100.00 ,,7398.11 ,,,,,,,
2015-09-09,,,,,,,,,,3100.00 ,,,589.50 ,,,,,,,,,,34100.00 ,,7549.88 ,,,,,,,
2015-09-10,,,,,,,,,,3100.00 ,3260.00 ,2910.00 ,585.50 ,849.20 ,323.30 ,353.30 ,,404.20 ,457.50 ,5.30 ,8.40 ,,34100.00 ,,7426.88 ,,,,,,,
2015-09-11,,,,,,,,,,3100.00 ,,,588.50 ,,,,,,,,,,34100.00 ,,7407.63 ,,,,,,,
2015-09-14,,,,,,,,,,3100.00 ,,,576.00 ,,,,,,,5.20 ,8.35 ,,34100.00 ,,7039.03 ,,,,,,,
2015-09-15,,,,,,,,,,3100.00 ,,,573.50 ,,,,,,,,,,33800.00 ,,6767.72 ,,,,,,,
2015-09-16,,,,,,,,,,3100.00 ,,,582.00 ,,,,,,,5.20 ,8.30 ,,33800.00 ,,7184.83 ,,,,,,,
2015-09-17,,,,,,,,,,3100.00 ,3260.00 ,2910.00 ,586.00 ,,,,,,,,,,34100.00 ,,6977.10 ,,,,,,,
2015-09-18,,,,,,,,,,3100.00 ,,,588.00 ,,,,,,,,,,34000.00 ,,7055.61 ,,,,,,,
2015-09-20,,,,,,,,,,,,,,849.20 ,320.00 ,350.00 ,,400.00 ,450.00 ,,,,,,,,,,,,,
2015-09-21,,,,,,,,,,3100.00 ,,,592.50 ,,,,,,,5.20 ,8.30 ,,33500.00 ,,7221.11 ,,,,,,,
2015-09-22,,,,,,,,,,3100.00 ,,,593.00 ,,,,,,,5.20 ,8.40 ,,33500.00 ,,7267.14 ,,,,,,,
2015-09-23,,,,,,,,,,3100.00 ,,,584.00 ,,,,,,,5.20 ,8.40 ,,32500.00 ,,7131.27 ,,,,,,,
2015-09-24,,,,,,,,,,3100.00 ,3210.00 ,2860.00 ,583.50 ,,,,,,,,,,32500.00 ,,7204.85 ,,,,,,,
2015-09-25,,,,,,,,,,3100.00 ,,,583.50 ,,,,,,,5.20 ,8.45 ,,32600.00 ,,6992.89 ,,,,,,,
2015-09-28,,,,,,,,,,3100.00 ,,,575.50 ,,,,,,,,,,32500.00 ,,7065.48 ,,,,,,,
2015-09-29,,,,,,,,,,3100.00 ,,,573.50 ,,,,,,,,,,31800.00 ,,6968.39 ,,,,,,,
2015-09-30,1072.44 ,693.80 ,741.30 ,25.36 ,71.45 ,169.56 ,474.00 ,462.04 ,455258.41 ,3100.00 ,,,568.50 ,849.20 ,320.00 ,350.00 ,61200.14 ,396.40 ,450.00 ,,,340327.00 ,31800.00 ,,7053.12 ,6.93 ,,445.00 ,259.50 ,458.20 ,215.40 ,43.00 
2015-10-08,,,,,,,,,,3100.00 ,,,572.00 ,,,,,,,,,,32800.00 ,,7364.31 ,,,,,,,
2015-10-09,,,,,,,,,,3100.00 ,,,578.00 ,,,,,,,,,,32800.00 ,,7419.40 ,,,,,,,
2015-10-10,,,,,,,,,,3100.00 ,,,,849.20 ,320.00 ,350.00 ,,395.00 ,450.00 ,,,,,,,,,,,,,
2015-10-12,,,,,,,,,,3100.00 ,,,573.50 ,,,,,,,,,,33200.00 ,,7712.49 ,,,,,,,
2015-10-13,,,,,,,,,,3100.00 ,,,565.50 ,,,,,,,,,,33000.00 ,,7734.44 ,,,,,,,
2015-10-14,,,,,,,,,,3100.00 ,,,564.50 ,,,,,,,,,,33000.00 ,,7582.45 ,,,,,,,
2015-10-15,,,,,,,,,,3100.00 ,3170.00 ,2820.00 ,565.00 ,,,,,,,,,,33400.00 ,,7759.55 ,,,,,,,
2015-10-16,,,,,,,,,,3070.00 ,,,564.00 ,,,,,,,5.20 ,8.50 ,,33200.00 ,,7839.11 ,,,,,,,
2015-10-19,,,,,,,,,,3070.00 ,,,569.00 ,,,,,,,,,,32800.00 ,,7831.44 ,,,,,,,
2015-10-20,,,,,,,,,,3070.00 ,,,568.50 ,856.30 ,312.90 ,342.90 ,,387.90 ,439.30 ,,,,32600.00 ,,7893.85 ,,,,,,,
2015-10-21,,,,,,,,,,3070.00 ,,,569.50 ,,,,,,,,,,32400.00 ,,7664.31 ,,,,,,,
2015-10-22,,,,,,,,,,3070.00 ,3170.00 ,2820.00 ,569.00 ,,,,,,,,,,32500.00 ,,7821.69 ,,,,,,,
2015-10-23,,,,,,,,,,3070.00 ,,,568.00 ,,,,,,,,,,32800.00 ,,8038.06 ,,,,,,,
2015-10-26,,,,,,,,,,3070.00 ,,,566.00 ,,,,,,,,,,32500.00 ,,8077.82 ,,,,,,,
2015-10-27,,,,,,,,,,3070.00 ,,,564.50 ,,,,,,,,,,32500.00 ,,8085.72 ,,,,,,,
2015-10-28,,,,,,,,,,3070.00 ,,,556.00 ,,,,,,,5.00 ,8.25 ,,32500.00 ,,7926.06 ,,,,,,,
2015-10-29,,,,,,,,,,3070.00 ,3170.00 ,2820.00 ,556.00 ,,,,,,,,,,32500.00 ,,8047.13 ,,,,,,,
2015-10-30,,,,,,,,,,3070.00 ,,,556.50 ,,,,,,,,,,32300.00 ,,8035.16 ,,,,,,,
2015-10-31,1005.33 ,630.50 ,612.45 ,25.36 ,71.45 ,177.74 ,473.29 ,457.26 ,423380.08 ,,,,,859.20 ,308.80 ,336.30 ,79399.48 ,380.00 ,430.00 ,,,294122.00 ,,,,5.91 ,,419.00 ,249.20 ,461.80 ,206.10 ,43.90 
2015-11-02,,,,,,,,,,3070.00 ,,,554.00 ,,,,,,,,,,32200.00 ,,8015.23 ,,,,,,,
