指标名称,现货价:镀锌板:1mm:全国,现货价:热轧普通薄板:3mm:全国,"车板价:主焦煤(A<10.5%,V21-25%,S<1%,G>75%,邯郸产):河北"
2012-07-18,,,1440.00 
2012-07-19,,,1440.00 
2012-07-20,,,1440.00 
2012-07-23,,,1440.00 
2012-07-24,,,1440.00 
2012-07-25,,,1440.00 
2012-07-26,,,1440.00 
2012-07-27,,,1430.00 
2012-07-30,,,1380.00 
2012-07-31,,,1380.00 
2012-08-01,4998.00 ,3918.00 ,1380.00 
2012-08-02,,,1340.00 
2012-08-03,,,1340.00 
2012-08-06,,,1340.00 
2012-08-07,,,1340.00 
2012-08-08,,,1340.00 
2012-08-09,,,1340.00 
2012-08-10,,,1340.00 
2012-08-13,,,1340.00 
2012-08-14,,,1340.00 
2012-08-15,4922.00 ,3797.00 ,1340.00 
2012-08-16,,,1340.00 
2012-08-17,,,1340.00 
2012-08-20,,,1340.00 
2012-08-21,,,1260.00 
2012-08-22,,,1240.00 
2012-08-23,,,1240.00 
2012-08-24,,,1240.00 
2012-08-27,,,1240.00 
2012-08-28,,,1240.00 
2012-08-29,,,1240.00 
2012-08-30,,,1240.00 
2012-08-31,,,1240.00 
2012-09-01,4872.00 ,3769.00 ,
2012-09-03,,,1240.00 
2012-09-04,,,1240.00 
2012-09-05,,,1240.00 
2012-09-06,,,1240.00 
2012-09-07,,,1240.00 
2012-09-10,,,1240.00 
2012-09-11,,,1080.00 
2012-09-12,,,1080.00 
2012-09-13,,,1080.00 
2012-09-14,,,1080.00 
2012-09-15,4895.00 ,3877.00 ,
2012-09-17,,,1080.00 
2012-09-18,,,1080.00 
2012-09-19,,,1080.00 
2012-09-20,,,1080.00 
2012-09-21,,,1080.00 
2012-09-24,,,1080.00 
2012-09-25,,,1080.00 
2012-09-26,,,1080.00 
2012-09-27,,,1080.00 
2012-09-28,,,1080.00 
2012-09-29,,,1080.00 
2012-10-01,4952.00 ,3972.00 ,
2012-10-08,,,1080.00 
2012-10-09,,,1080.00 
2012-10-10,,,1080.00 
2012-10-11,,,1180.00 
2012-10-12,,,1180.00 
2012-10-15,4942.00 ,3972.00 ,1180.00 
2012-10-16,,,1180.00 
2012-10-17,,,1180.00 
2012-10-18,,,1180.00 
2012-10-19,,,1180.00 
2012-10-22,,,1180.00 
2012-10-23,,,1180.00 
2012-10-24,,,1180.00 
2012-10-25,,,1180.00 
2012-10-26,,,1180.00 
2012-10-29,,,1180.00 
2012-10-30,,,1180.00 
2012-10-31,,,1180.00 
2012-11-01,4972.00 ,4046.00 ,1180.00 
2012-11-02,,,1180.00 
2012-11-05,,,1180.00 
2012-11-06,,,1180.00 
2012-11-07,,,1180.00 
2012-11-08,,,1180.00 
2012-11-09,,,1180.00 
2012-11-12,,,1240.00 
2012-11-13,,,1240.00 
2012-11-14,,,1240.00 
2012-11-15,4960.00 ,4025.00 ,1240.00 
2012-11-16,,,1240.00 
2012-11-19,,,1240.00 
2012-11-20,,,1240.00 
2012-11-21,,,1240.00 
2012-11-22,,,1240.00 
2012-11-23,,,1240.00 
2012-11-26,,,1240.00 
2012-11-27,,,1240.00 
2012-11-28,,,1240.00 
2012-11-29,,,1240.00 
2012-11-30,,,1240.00 
2012-12-01,4955.00 ,4009.00 ,
2012-12-03,,,1240.00 
2012-12-04,,,1240.00 
2012-12-05,,,1240.00 
2012-12-06,,,1240.00 
2012-12-07,,,1240.00 
2012-12-10,,,1240.00 
2012-12-11,,,1240.00 
2012-12-12,,,1240.00 
2012-12-13,,,1240.00 
2012-12-14,,,1240.00 
2012-12-15,4958.00 ,4073.00 ,
2012-12-17,,,1240.00 
2012-12-18,,,1240.00 
2012-12-19,,,1240.00 
2012-12-20,,,1240.00 
2012-12-21,,,1240.00 
2012-12-24,,,1240.00 
2012-12-25,,,1240.00 
2012-12-26,,,1240.00 
2012-12-27,,,1240.00 
2012-12-28,,,1240.00 
2012-12-31,,,1240.00 
2013-01-01,4992.00 ,4134.00 ,
2013-01-04,,,1240.00 
2013-01-05,,,1240.00 
2013-01-06,,,1280.00 
2013-01-07,,,1280.00 
2013-01-08,,,1280.00 
2013-01-09,,,1280.00 
2013-01-10,,,1280.00 
2013-01-11,,,1280.00 
2013-01-14,,,1280.00 
2013-01-15,4998.00 ,4131.00 ,1280.00 
2013-01-16,,,1280.00 
2013-01-17,,,1280.00 
2013-01-18,,,1280.00 
2013-01-21,,,1280.00 
2013-01-22,,,1280.00 
2013-01-23,,,1280.00 
2013-01-24,,,1280.00 
2013-01-25,,,1280.00 
2013-01-28,,,1280.00 
2013-01-29,,,1280.00 
2013-01-30,,,1280.00 
2013-01-31,,,1280.00 
2013-02-01,5028.00 ,4200.00 ,1280.00 
2013-02-04,,,1280.00 
2013-02-05,,,1280.00 
2013-02-06,,,1280.00 
2013-02-07,,,1280.00 
2013-02-08,,,1280.00 
2013-02-15,5065.00 ,4194.00 ,
2013-02-16,,,1280.00 
2013-02-17,,,1280.00 
2013-02-18,,,1280.00 
2013-02-19,,,1280.00 
2013-02-20,,,1280.00 
2013-02-21,,,1280.00 
2013-02-22,,,1280.00 
2013-02-25,,,1280.00 
2013-02-26,,,1280.00 
2013-02-27,,,1280.00 
2013-02-28,,,1280.00 
2013-03-01,5042.00 ,4107.00 ,1280.00 
2013-03-04,,,1280.00 
2013-03-05,,,1280.00 
2013-03-06,,,1280.00 
2013-03-07,,,1280.00 
2013-03-08,,,1280.00 
2013-03-11,,,1280.00 
2013-03-12,,,1280.00 
2013-03-13,,,1280.00 
2013-03-14,,,1280.00 
2013-03-15,5014.00 ,4063.00 ,1280.00 
2013-03-18,,,1280.00 
2013-03-19,,,1280.00 
2013-03-20,,,1280.00 
2013-03-21,,,1280.00 
2013-03-22,,,1280.00 
2013-03-25,,,1280.00 
2013-03-26,,,1280.00 
2013-03-27,,,1280.00 
2013-03-28,,,1280.00 
2013-03-29,,,1280.00 
2013-04-01,4990.00 ,4030.00 ,1280.00 
2013-04-02,,,1220.00 
2013-04-03,,,1220.00 
2013-04-07,,,1220.00 
2013-04-08,,,1220.00 
2013-04-09,,,1220.00 
2013-04-10,,,1220.00 
2013-04-11,,,1220.00 
2013-04-12,,,1220.00 
2013-04-15,4967.00 ,3969.00 ,1220.00 
2013-04-16,,,1220.00 
2013-04-17,,,1220.00 
2013-04-18,,,1220.00 
2013-04-19,,,1220.00 
2013-04-22,,,1220.00 
2013-04-23,,,1220.00 
2013-04-24,,,1220.00 
2013-04-25,,,1220.00 
2013-04-26,,,1170.00 
2013-04-27,,,1170.00 
2013-04-28,,,1170.00 
2013-05-01,4888.00 ,3885.00 ,
2013-05-02,,,1170.00 
2013-05-03,,,1170.00 
2013-05-06,,,1170.00 
2013-05-07,,,1150.00 
2013-05-08,,,1150.00 
2013-05-09,,,1150.00 
2013-05-10,,,1150.00 
2013-05-13,,,1150.00 
2013-05-14,,,1150.00 
2013-05-15,4822.00 ,3816.00 ,1150.00 
2013-05-16,,,1150.00 
2013-05-17,,,1150.00 
2013-05-20,,,1150.00 
2013-05-21,,,1150.00 
2013-05-22,,,1150.00 
2013-05-23,,,1150.00 
2013-05-24,,,1150.00 
2013-05-27,,,1150.00 
2013-05-28,,,1150.00 
2013-05-29,,,1150.00 
2013-05-30,,,1150.00 
2013-05-31,,,1150.00 
2013-06-01,4770.00 ,3789.00 ,
2013-06-03,,,1150.00 
2013-06-04,,,1090.00 
2013-06-05,,,1090.00 
2013-06-06,,,1090.00 
2013-06-07,,,1090.00 
2013-06-08,,,1090.00 
2013-06-09,,,1090.00 
2013-06-13,,,1090.00 
2013-06-14,,,1090.00 
2013-06-15,4741.00 ,3754.00 ,
2013-06-17,,,1030.00 
2013-06-18,,,1030.00 
2013-06-19,,,1030.00 
2013-06-20,,,1030.00 
2013-06-21,,,1030.00 
2013-06-24,,,1030.00 
2013-06-25,,,1030.00 
2013-06-26,,,1030.00 
2013-06-27,,,1030.00 
2013-06-28,,,1030.00 
2013-07-01,4721.00 ,3782.00 ,1030.00 
2013-07-02,,,1030.00 
2013-07-03,,,1030.00 
2013-07-04,,,1030.00 
2013-07-05,,,1030.00 
2013-07-08,,,1030.00 
2013-07-09,,,1030.00 
2013-07-10,,,1030.00 
2013-07-11,,,1030.00 
2013-07-12,,,1030.00 
2013-07-15,4735.00 ,3831.00 ,1030.00 
2013-07-16,,,1030.00 
2013-07-17,,,1030.00 
2013-07-18,,,1030.00 
2013-07-19,,,1030.00 
2013-07-22,,,1030.00 
2013-07-23,,,1030.00 
2013-07-24,,,1030.00 
2013-07-25,,,1030.00 
2013-07-26,,,1030.00 
2013-07-29,,,1030.00 
2013-07-30,,,1030.00 
2013-07-31,,,1030.00 
2013-08-01,4749.00 ,3845.00 ,1030.00 
2013-08-02,,,1030.00 
2013-08-05,,,1030.00 
2013-08-06,,,1050.00 
2013-08-07,,,1050.00 
2013-08-08,,,1050.00 
2013-08-09,,,1050.00 
2013-08-12,,,1050.00 
2013-08-13,,,1050.00 
2013-08-14,,,1050.00 
2013-08-15,4782.00 ,3858.00 ,1050.00 
2013-08-16,,,1050.00 
2013-08-19,,,1050.00 
2013-08-20,,,1050.00 
2013-08-21,,,1050.00 
2013-08-22,,,1050.00 
2013-08-23,,,1050.00 
2013-08-26,,,1050.00 
2013-08-27,,,1050.00 
2013-08-28,,,1050.00 
2013-08-29,,,1050.00 
2013-08-30,,,1050.00 
2013-09-01,4769.00 ,3833.00 ,
2013-09-02,,,1050.00 
2013-09-03,,,1080.00 
2013-09-04,,,1080.00 
2013-09-05,,,1080.00 
2013-09-06,,,1080.00 
2013-09-09,,,1080.00 
2013-09-10,,,1080.00 
2013-09-11,,,1080.00 
2013-09-12,,,1080.00 
2013-09-13,,,1080.00 
2013-09-15,4748.00 ,3804.00 ,
2013-09-16,,,1080.00 
2013-09-17,,,1080.00 
2013-09-18,,,1080.00 
2013-09-22,,,1080.00 
2013-09-23,,,1080.00 
2013-09-24,,,1080.00 
2013-09-25,,,1080.00 
2013-09-26,,,1080.00 
2013-09-27,,,1080.00 
2013-09-29,,,1080.00 
2013-09-30,,,1080.00 
2013-10-01,4744.00 ,3787.00 ,
2013-10-08,,,1080.00 
2013-10-09,,,1080.00 
2013-10-10,,,1080.00 
2013-10-11,,,1080.00 
2013-10-12,,,1080.00 
2013-10-14,,,1080.00 
2013-10-15,4730.00 ,3761.00 ,1080.00 
2013-10-16,,,1080.00 
2013-10-17,,,1080.00 
2013-10-18,,,1080.00 
2013-10-21,,,1080.00 
2013-10-22,,,1080.00 
2013-10-23,,,1080.00 
2013-10-24,,,1080.00 
2013-10-25,,,1080.00 
2013-10-28,,,1080.00 
2013-10-29,,,1080.00 
2013-10-30,,,1080.00 
2013-10-31,,,1080.00 
2013-11-01,4724.00 ,3735.00 ,1080.00 
2013-11-04,,,1080.00 
2013-11-05,,,1080.00 
2013-11-06,,,1080.00 
2013-11-07,,,1080.00 
2013-11-08,,,1080.00 
2013-11-11,,,1080.00 
2013-11-12,,,1080.00 
2013-11-13,,,1080.00 
2013-11-14,,,1080.00 
2013-11-15,4720.00 ,3725.00 ,1080.00 
2013-11-18,,,1080.00 
2013-11-19,,,1080.00 
2013-11-20,,,1080.00 
2013-11-21,,,1080.00 
2013-11-22,,,1080.00 
2013-11-25,,,1080.00 
2013-11-26,,,1080.00 
