时间,秦皇岛港:平仓价:大同优混(Q5800K)
2016/9/30,0
2016/10/3,597.8
2016/10/8,0
2016/10/9,0
2016/10/10,607.5
2016/10/11,0
2016/10/12,0
2016/10/13,0
2016/10/14,0
2016/10/17,623.6
2016/10/18,0
2016/10/19,0
2016/10/20,0
2016/10/21,0
2016/10/24,645.6
2016/10/25,0
2016/10/26,0
2016/10/27,0
2016/10/28,0
2016/10/31,677
2016/11/1,0
2016/11/2,0
2016/11/3,0
2016/11/4,0
2016/11/7,718.4
2016/11/8,0
2016/11/9,0
2016/11/10,0
2016/11/11,0
2016/11/14,755.6
2016/11/15,0
2016/11/16,0
2016/11/17,0
2016/11/18,0
2016/11/21,746.8
2016/11/22,0
2016/11/23,0
2016/11/24,0
2016/11/25,0
2016/11/28,709.2
2016/11/29,0
2016/11/30,0
2016/12/1,0
2016/12/2,0
2016/12/5,694.2
2016/12/6,0
2016/12/7,0
2016/12/8,0
2016/12/9,0
2016/12/12,678.4
2016/12/13,0
2016/12/14,0
2016/12/15,0
2016/12/16,0
2016/12/19,662.4
2016/12/20,0
2016/12/21,0
2016/12/22,0
2016/12/23,0
2016/12/26,651.8
2016/12/27,0
2016/12/28,0
2016/12/29,0
2016/12/30,0
2017/1/2,640.4
2017/1/3,0
2017/1/4,0
2017/1/5,0
2017/1/6,0
2017/1/9,630.75
2017/1/10,0
2017/1/11,0
2017/1/12,0
2017/1/13,0
2017/1/16,625.6
2017/1/17,0
2017/1/18,0
2017/1/19,0
2017/1/20,0
2017/1/22,0
2017/1/23,622.4
2017/1/24,0
2017/1/25,0
2017/1/30,623
2017/2/3,0
2017/2/4,0
2017/2/6,0
2017/2/7,0
2017/2/8,0
2017/2/9,0
2017/2/10,0
2017/2/13,612.6
2017/2/14,0
2017/2/15,0
2017/2/16,0
2017/2/17,0
2017/2/20,610.4
2017/2/21,0
2017/2/22,0
2017/2/23,0
2017/2/24,0
2017/2/27,623.8
2017/2/28,0
2017/3/1,0
2017/3/2,0
2017/3/3,0
2017/3/6,642.2
2017/3/7,0
2017/3/8,0
2017/3/9,0
2017/3/10,0
2017/3/13,669.4
2017/3/14,0
2017/3/15,0
2017/3/16,0
2017/3/17,0
2017/3/20,701.6
2017/3/21,0
2017/3/22,0
2017/3/23,0
2017/3/24,0
2017/3/27,710.8
2017/3/28,0
2017/3/29,0
2017/3/30,0
2017/3/31,0
2017/4/1,0
2017/4/3,709
2017/4/5,0
2017/4/6,0
2017/4/7,0
2017/4/10,705.67
2017/4/11,0
2017/4/12,0
2017/4/13,0
2017/4/14,0
2017/4/17,697.2
2017/4/18,0
2017/4/19,0
2017/4/20,0
2017/4/21,0
2017/4/24,686.2
2017/4/25,0
2017/4/26,0
2017/4/27,0
2017/4/28,0
2017/5/1,663
2017/5/2,0
2017/5/3,0
2017/5/4,0
2017/5/5,0
2017/5/8,641.6
2017/5/9,0
2017/5/10,0
2017/5/11,0
2017/5/12,0
2017/5/15,616.4
2017/5/16,0
2017/5/17,0
2017/5/18,0
2017/5/19,0
2017/5/22,594.8
2017/5/23,0
2017/5/24,0
2017/5/25,0
2017/5/26,0
2017/5/27,0
2017/5/29,583.5
2017/5/31,0
2017/6/1,0
2017/6/2,0
2017/6/5,578.67
2017/6/6,0
2017/6/7,0
2017/6/8,0
2017/6/9,0
2017/6/12,577
2017/6/13,0
2017/6/14,0
2017/6/15,0
2017/6/16,0
2017/6/19,591.2
2017/6/20,0
2017/6/21,0
2017/6/22,0
2017/6/23,0
2017/6/26,608.8
2017/6/27,0
2017/6/28,0
2017/6/29,0
2017/6/30,0
2017/7/1,614.4
2017/7/3,614.4
2017/7/4,0
2017/7/5,0
2017/7/6,0
2017/7/7,0
2017/7/10,625.6
2017/7/11,0
2017/7/12,0
2017/7/13,0
2017/7/14,0
2017/7/17,642.6
2017/7/18,0
2017/7/19,0
2017/7/20,0
2017/7/21,0
2017/7/24,658.2
2017/7/31,663.2
