指标名称,36城市服务价格:有线电视收费:有线电视收费,出口数量:彩色电视机(包括整套散件):当月值,出口金额:彩色电视机(包括整套散件):当月值,申万行业指数:有线电视网络,申万行业指数:广播电影电视,Wind行业指数:有线和卫星电视,耐用品采购订单指数:电视机:环比,价格:液晶显示器面板:21.5寸:LED:FHD,价格:液晶电视面板:32寸:Open Cell:WXGA,"平均价:液晶电视面板:50""W 1920x1080 50/60Hz Open-Cell","平均价:液晶电视面板:32""W 1366x768 50/60Hz Open-Cell","零售均价:液晶电视:32"" LED","零售均价:液晶电视:55"" LED",产量:彩色电视机:累计值,销量:彩色电视机:累计值,出货量:液晶电视面板:当月值,出货量:大尺寸面板:液晶电视:当月值,出口数量:电视机(包括整套散件):当月值,进口数量:电视显像管:当月值,进口数量:彩色显像管:当月值,进口数量:二极管及类似半导体器件:当月值,进口数量:集成电路:当月值,进口平均单价:电视、收音机及无线电讯设备的零附件:当月值,进口平均单价:电容器:当月值,进口平均单价:电阻器:当月值,创维数码:销量:电视机:当月值
2013-04-24,,,,2139.06 ,2705.46 ,2180.08 ,,,,,,,,,,,,,,,,,,,,
2013-04-25,,,,2110.09 ,2593.08 ,2143.37 ,,,,,,,,,,,,,,,,,,,,
2013-04-26,,,,2087.50 ,2631.83 ,2121.33 ,,,,,,,,,,,,,,,,,,,,
2013-04-30,,424.00 ,82921.30 ,,,,13.00 ,,,,,346.00 ,1305.00 ,,,20.10 ,19412.00 ,424.00 ,5.00 ,5.00 ,31415.00 ,24999.00 ,98390.71 ,247195.11 ,210849.26 ,1045.00 
2013-05-02,,,,2122.71 ,2800.12 ,2158.49 ,,,,,,,,,,,,,,,,,,,,
2013-05-03,,,,2157.88 ,2927.30 ,2204.26 ,,,,,,,,,,,,,,,,,,,,
2013-05-04,,,,,,,,75.00 ,100.00 ,,,,,,,,,,,,,,,,,
2013-05-06,,,,2215.96 ,2890.96 ,2259.97 ,,,,,100.00 ,,,,,,,,,,,,,,,
2013-05-07,,,,2197.37 ,2932.85 ,2247.97 ,,,,,,,,,,,,,,,,,,,,
2013-05-08,,,,2248.55 ,3173.30 ,2275.35 ,,,,,,,,,,,,,,,,,,,,
2013-05-09,,,,2285.75 ,3194.90 ,2295.88 ,,,,,,,,,,,,,,,,,,,,
2013-05-10,,,,2249.89 ,3019.71 ,2258.86 ,,,,,,,,,,,,,,,,,,,,
2013-05-13,,,,2248.50 ,3073.50 ,2256.08 ,,,,,,,,,,,,,,,,,,,,
2013-05-14,,,,2212.46 ,2957.51 ,2227.29 ,,,,,,,,,,,,,,,,,,,,
2013-05-15,,,,2256.28 ,3193.74 ,2280.03 ,,,,,,,,,,,,,,,,,,,,
2013-05-16,,,,2293.34 ,3164.73 ,2313.27 ,,,,,,,,,,,,,,,,,,,,
2013-05-17,,,,2413.41 ,3289.87 ,2423.38 ,,,,,,,,,,,,,,,,,,,,
2013-05-20,,,,2519.59 ,3457.93 ,2558.82 ,,75.00 ,100.00 ,,100.00 ,,,,,,,,,,,,,,,
2013-05-21,,,,2599.89 ,3590.78 ,2618.10 ,,,,,,,,,,,,,,,,,,,,
2013-05-22,,,,2548.14 ,3405.99 ,2578.98 ,,,,,,,,,,,,,,,,,,,,
2013-05-23,,,,2499.70 ,3377.49 ,2538.23 ,,,,,,,,,,,,,,,,,,,,
2013-05-24,,,,2601.58 ,3557.22 ,2634.61 ,,,,,,,,,,,,,,,,,,,,
2013-05-27,,,,2597.01 ,3554.39 ,2642.25 ,,,,,,,,,,,,,,,,,,,,
